#,Building,Images,Height,Floors,Building type,Year,Status
456,Helmsley Medical Tower,4,400 ft,36,skyscraper,1987,
457,San Remo Apartments,26,400 ft,27,skyscraper,1930,
458,46-15 Center Boulevard,4,400 ft,42,skyscraper,2013,
459,Waterside Apartments I,7,400 ft,41,skyscraper,1974,
460,420 West 42nd Street,21,400 ft,41,skyscraper,2001,
461,Bard-Haven Tower III,1,400 ft,39,skyscraper,1971,
462,Bard-Haven Tower I,2,400 ft,39,skyscraper,1971,
463,Bard-Haven Tower II,1,400 ft,39,skyscraper,1971,
464,The Saratoga,6,400 ft,39,skyscraper,1985,
465,Kingsley Condominiums,8,400 ft,39,skyscraper,1984,
466,HSBC Tower,22,400 ft,29,skyscraper,1984,
467,875 3rd Avenue,10,400 ft,29,skyscraper,1983,
468,Toren,91,399 ft,38,skyscraper,2009,
469,116 John Street,13,399 ft,35,skyscraper,1931,
470,120 Wall Street,18,399 ft,33,skyscraper,1931,
471,Manufacturers Hanover Building,5,399 ft,28,skyscraper,1952,
472,Capitol at Chelsea,15,398 ft,37,skyscraper,2001,
473,Brooklyn Renaissance Plaza,12,398 ft,32,skyscraper,1998,
474,1 North 4th Place,11,398 ft,41,skyscraper,2014,
475,LEVEL,12,398 ft,40,skyscraper,2017,
476,Hamilton Apartments,4,398 ft,37,skyscraper,1986,
477,OHM,33,398 ft,34,skyscraper,2009,
478,The Charles,7,398 ft,34,skyscraper,2015,
479,Rockefeller University Scholars Building,9,397 ft,37,skyscraper,1988,
480,Ariel East,11,396 ft,38,skyscraper,2007,
481,45 Broadway Atrium,7,396 ft,32,skyscraper,1983,
482,One Exchange Plaza,14,396 ft,31,skyscraper,1984,
483,House39,4,395 ft,36,skyscraper,2017,
484,The Aldyn,18,395 ft,38,skyscraper,2010,
485,Evans View Condominiums,7,395 ft,40,skyscraper,1985,
486,The Concorde Hotel,10,395 ft,35,skyscraper,-,
487,Millennium Tower Residences,25,394 ft,35,skyscraper,2007,
488,Place 57,13,394 ft,34,skyscraper,2006,
489,Churchill Apartments,3,394 ft,32,skyscraper,1967,
490,4 Metrotech Center,19,394 ft,25,skyscraper,1993,
491,325 Lexington Avenue,6,393 ft,31,skyscraper,2014,
492,Western Electric Building,6,393 ft,31,skyscraper,1961,
493,One Hudson Yards,12,393 ft,33,skyscraper,2017,
494,Avalon Fort Greene,42,393 ft,42,skyscraper,2009,
495,Plaza 400 Apartments,2,392 ft,40,skyscraper,1967,
496,Adler Building,9,392 ft,30,skyscraper,1929,
497,1500 Broadway,7,392 ft,34,skyscraper,1972,
498,Riverside Church,15,392 ft,19,skyscraper,1930,
499,420 Fifth Avenue,16,391 ft,30,skyscraper,1989,
500,Franklin National Bank Building,11,391 ft,32,skyscraper,1972,
501,Park Row Building,17,391 ft,30,skyscraper,1899,
502,Equitable Life Assurance Society Building,8,391 ft,26,skyscraper,1924,
503,Montague-Court Building,10,390 ft,35,skyscraper,1927,
504,Two Worldwide Plaza,8,390 ft,38,skyscraper,1989,
505,150 East 52nd Street,2,390 ft,35,skyscraper,1983,
506,New York Stock Exchange Annex,5,390 ft,27,skyscraper,1956,
507,45-45 Center Boulevard,4,390 ft,41,skyscraper,2013,
508,Hanover Bank Building,12,389 ft,30,skyscraper,1962,
509,Marine Midland Bank Building,1,388 ft,32,skyscraper,1959,
510,250 Broadway,12,388 ft,31,skyscraper,1962,
511,New York Marriott East Side,4,387 ft,35,skyscraper,1924,
512,The Aurora,17,387 ft,30,skyscraper,2003,
513,Lefcourt Manhattan Building,9,387 ft,25,skyscraper,1927,
514,The Stanford Condominium,3,386 ft,42,skyscraper,1986,
515,Tower 56,1,386 ft,32,skyscraper,1982,
516,510 Madison,51,386 ft,30,skyscraper,2010,
517,The Centria,15,386 ft,34,skyscraper,2007,
518,U.S. Trust Building,3,386 ft,27,skyscraper,1989,
519,Avalon Riverview North,23,385 ft,39,skyscraper,2007,
520,Liberty Tower,16,385 ft,33,skyscraper,1910,
521,200 Madison Avenue,4,385 ft,25,skyscraper,1926,
522,Verizon Building,8,385 ft,24,skyscraper,1967,
523,Channel Club Condominiums,3,385 ft,39,skyscraper,1987,
524,Archstone Murray Hill,,385 ft,36,skyscraper,1972,
525,The Westin New York Grand Hotel,6,384 ft,41,skyscraper,1981,
526,The Colorado,4,384 ft,35,skyscraper,1987,
527,Maritime Exchange Building,8,384 ft,36,skyscraper,1931,
528,Carnegie Towers Apartments,3,383 ft,38,skyscraper,1973,
529,Continental Towers Condominiums,5,383 ft,35,skyscraper,1973,
530,One Carnegie Hill,5,382 ft,41,skyscraper,2006,
531,52 East End Avenue,5,382 ft,40,skyscraper,1987,
532,The Milan Condominium,13,381 ft,31,skyscraper,2005,
533,Tower 53 Condominiums,9,381 ft,38,skyscraper,1967,
534,Greenwich Savings Bank Building,4,381 ft,34,skyscraper,1971,
535,40 Fulton Street,10,380 ft,29,skyscraper,1986,
536,Element,17,380 ft,33,skyscraper,2008,
537,Carnegie Mews Apartments,3,380 ft,37,skyscraper,1979,
538,Alfred Condominiums,2,378 ft,37,skyscraper,1987,
539,Hotel Parker Meridien,11,378 ft,37,skyscraper,1981,
540,One Sherman Square Apartments,7,378 ft,42,skyscraper,1972,
541,Grand Beekman Condominiums,15,378 ft,32,skyscraper,2003,
542,Jehovah&#039;s Witnesses Dormitory,15,378 ft,30,skyscraper,1995,
543,485 Lexington Avenue,8,377 ft,31,skyscraper,1956,
544,Bronx-Whitestone Bridge,1,377 ft,-,bridge,1939,
545,360 East 89th Street,42,377 ft,34,skyscraper,2017,
546,"505 West 37th Street, West Tower",45,377 ft,34,skyscraper,2010,
547,461 5th Avenue,9,376 ft,28,skyscraper,1988,
548,Xerox Building,7,376 ft,32,skyscraper,1965,
549,New York Hospital,7,376 ft,27,skyscraper,1932,
550,Mutual of New York Building,12,375 ft,27,skyscraper,1950,
551,222 East 41st Street,11,375 ft,25,skyscraper,2002,
552,The Forge,3,374 ft,33,skyscraper,2017,
553,Brittany Apartments,4,371 ft,36,skyscraper,1995,
554,Ritz-Carlton Central Park,7,371 ft,33,skyscraper,1930,
555,Western Union Building,11,371 ft,24,skyscraper,1930,
556,Crystal Pavilion,5,371 ft,29,skyscraper,1983,
557,Archstone 101 West End,5,370 ft,33,skyscraper,2000,
558,Salmon Tower,16,370 ft,32,skyscraper,1927,
559,Tower 270,8,370 ft,28,skyscraper,1930,
560,AT&T Switching Center,15,370 ft,21,skyscraper,1964,
561,Evans Tower Condominiums,6,370 ft,36,skyscraper,1986,
562,Beaumont Tower,,370 ft,34,skyscraper,1975,
563,Independence Plaza,9,369 ft,39,skyscraper,1974,
564,376 Greenwich Street,6,369 ft,39,skyscraper,1974,
565,310 Greenwich Street,5,369 ft,39,skyscraper,1974,
566,Hudsonview Terrace,5,369 ft,38,skyscraper,1976,
567,Normandie Court Apartments IV,3,369 ft,34,skyscraper,1986,
568,Normandie Court Apartments III,1,369 ft,34,skyscraper,1986,
569,Normandie Court Apartments I,4,369 ft,34,skyscraper,1986,
570,Normandie Court Apartments II,3,369 ft,34,skyscraper,1986,
571,Chelsea Landmark,13,368 ft,36,skyscraper,2007,
572,Parker 86th Apartments,2,368 ft,36,skyscraper,1974,
573,Waterside Apartments II,4,367 ft,40,skyscraper,1974,
574,The Future Condominiums,9,367 ft,35,skyscraper,1991,
575,Oro 2 Condominium,23,367 ft,35,skyscraper,2014,
576,Trump Plaza Apartments,8,366 ft,37,skyscraper,1984,
577,100 Wall Street,4,365 ft,29,skyscraper,1969,
578,Towne House Apartments,17,365 ft,27,skyscraper,1930,
579,123 William Street,2,365 ft,26,skyscraper,1957,
580,Abington House,26,365 ft,33,skyscraper,2014,
581,300 Ashland Place,39,364 ft,32,skyscraper,2016,
582,Le Rivage Apartments,19,364 ft,31,skyscraper,1931,
583,MacMillan Building,6,364 ft,31,skyscraper,1966,
584,General Telephone Building,8,364 ft,28,skyscraper,1959,
585,Warwick Hotel,3,363 ft,36,skyscraper,1927,
586,Manhattan Place Condominiums,16,363 ft,35,skyscraper,1984,
587,Cosmopolitan Condominiums,5,363 ft,35,skyscraper,1986,
588,Pershing Square Building,20,363 ft,30,skyscraper,1923,
589,Park Lane Tower,8,363 ft,36,skyscraper,1967,
590,Pod Times Square Hotel,2,363 ft,28,skyscraper,2017,
591,110 Wall Street,11,363 ft,28,skyscraper,1965,
592,1 Times Square,16,363 ft,25,skyscraper,1905,
593,240 Riverside Boulevard at Trump Place,12,362 ft,31,skyscraper,2005,
594,Chartwell House Condominium,6,362 ft,34,skyscraper,2001,
595,Philip Morris Building,11,361 ft,26,skyscraper,1983,
596,City Point I,5,361 ft,27,skyscraper,2015,
597,The Halcyon,18,360 ft,32,skyscraper,2015,
598,Holiday Inn Express New York City Times Square,13,360 ft,36,skyscraper,2009,
599,Hilary Gardens,5,360 ft,34,skyscraper,1972,
600,The Visionaire,167,360 ft,33,skyscraper,2008,
601,Emigrant Savings Bank Building,3,360 ft,28,skyscraper,1969,
602,45 Wall Street,4,360 ft,28,skyscraper,1959,
603,650 Madison Avenue,3,360 ft,27,skyscraper,1987,
604,Throgs Neck Bridge,,360 ft,-,bridge,1961,
605,Hampton Inn Manhattan/Times Square South,,360 ft,32,skyscraper,2011,
606,The New York Tower,2,358 ft,36,skyscraper,1982,
607,215 East 68th Apartments,3,357 ft,33,skyscraper,1962,
608,Corning Glass Works Building,3,357 ft,28,skyscraper,1958,
609,Park Central Hotel,4,357 ft,25,skyscraper,1926,
610,Sofitel New York Hotel,13,356 ft,30,skyscraper,2000,
611,Chatham Condominiums,9,356 ft,32,skyscraper,2000,
612,Courtyard New York Downtown Manhattan/World Trade Center Area,6,356 ft,29,skyscraper,2016,
613,211 East 70th Street,1,356 ft,35,skyscraper,1976,
614,American Machine & Foundry Building,8,355 ft,28,skyscraper,1953,
615,Waterside Apartments III,6,355 ft,39,skyscraper,1974,
616,The Columbia,5,355 ft,36,skyscraper,1983,
617,Fontaine Apartments,1,355 ft,36,skyscraper,1982,
618,RiverCourt,1,355 ft,36,skyscraper,1975,
619,160 Riverside Boulevard at Trump Place,12,354 ft,33,skyscraper,2001,
620,Landmark Apartments,5,354 ft,36,skyscraper,1971,
621,Carnegie Hill Tower,,354 ft,32,skyscraper,1982,
622,New York Marriott Downtown,13,353 ft,37,skyscraper,1991,
623,Azure,22,352 ft,32,skyscraper,2010,
624,Graybar Building,25,351 ft,30,skyscraper,1927,
625,527 Madison,2,351 ft,26,skyscraper,1986,
626,300 East 34th Street,7,351 ft,33,skyscraper,1973,
627,86 Fleet Place,13,351 ft,32,skyscraper,2017,
628,45-40 Center Boulevard,6,350 ft,32,skyscraper,2013,
629,10 West End Avenue,9,350 ft,31,skyscraper,2007,
630,Trump Park Avenue,22,350 ft,31,skyscraper,1929,
631,Winstar Building and Addition,2,350 ft,31,skyscraper,1962,
632,The Metropolitan,12,350 ft,30,skyscraper,2004,
633,Chamber of Commerce Building,10,350 ft,27,skyscraper,1926,
634,Queensboro Bridge,26,350 ft,-,bridge,1909,
635,Clermont Towers,4,350 ft,34,skyscraper,1964,
636,Samuel B. & David Rose Building,2,350 ft,32,skyscraper,1990,
637,2 Park Avenue,9,349 ft,29,skyscraper,1928,
638,Falcon Towers,4,348 ft,31,skyscraper,1987,
639,The Magellan,9,348 ft,34,skyscraper,2003,
640,BellTel Lofts,19,348 ft,25,skyscraper,1931,
641,Mercedes House,32,348 ft,27,skyscraper,2012,
642,Le Premier Condominiums,2,347 ft,32,skyscraper,1980,
643,461 Dean Street,23,347 ft,32,skyscraper,2016,
644,InterContinental New York Times Square,52,347 ft,34,skyscraper,2010,
645,Clinton Towers Apartments,13,346 ft,39,skyscraper,1974,
646,The Eldorado,12,346 ft,28,skyscraper,1931,
647,Coleridge Tower,,346 ft,34,skyscraper,1975,
648,Amherst Tower,,346 ft,34,skyscraper,1975,
649,Park Belvedere Condominiums,3,346 ft,34,skyscraper,1985,
650,Majestic Apartments,9,346 ft,31,skyscraper,1931,
651,Twenty9th Park Madison,9,345 ft,34,skyscraper,2008,
652,Ruppert-Yorkville Towers,8,345 ft,42,skyscraper,1975,
653,Wellesley Apartments,3,345 ft,36,skyscraper,1983,
654,Regent Apartments,2,345 ft,34,skyscraper,1981,
655,New Yorker East Apartments,2,345 ft,34,skyscraper,1975,
656,One Riverside Park,25,345 ft,33,skyscraper,2015,
657,300 East 74th Street,4,344 ft,36,skyscraper,1967,
658,Arthur A. Schomburg Plaza II,4,344 ft,35,skyscraper,1975,
659,Arthur A. Schomburg Plaza I,4,344 ft,35,skyscraper,1975,
660,The Avery,15,344 ft,30,skyscraper,2006,
661,29 Broadway,6,344 ft,30,skyscraper,1931,
662,Citibank Building,10,344 ft,24,skyscraper,1966,
663,Astor Terrace Apartments,3,344 ft,33,skyscraper,1986,
664,New Gotham,4,343 ft,33,skyscraper,1998,
665,Century Condominiums,8,343 ft,32,skyscraper,1931,
666,Court Chambers Building,16,343 ft,30,skyscraper,1926,
667,5 Penn Plaza,13,343 ft,24,skyscraper,1916,
668,Manhattan NYC-an Affinia hotel,6,342 ft,31,skyscraper,1930,
669,Connaught Tower Condominiums,5,342 ft,35,skyscraper,1978,
670,Hilton Garden Inn New York/Central Park South-Midtown West,1,341 ft,34,skyscraper,2013,
671,Candler Building,8,341 ft,23,skyscraper,1912,
672,Tower 58,6,340 ft,34,skyscraper,1969,
673,Ariel West,7,340 ft,31,skyscraper,2008,
674,Georgetown Plaza Apartments,4,340 ft,31,skyscraper,1965,
675,United States Express Company Building,16,340 ft,26,skyscraper,1907,
676,30 Lincoln Plaza Apartments,5,340 ft,33,skyscraper,1980,
677,33 Beekman Street,28,340 ft,34,skyscraper,2015,
678,St. Patrick&#039;s Cathedral,30,339 ft,-,church,1879,
679,CBS Building,5,339 ft,30,skyscraper,1930,
680,Fairmont Apartments,3,339 ft,34,skyscraper,1979,
681,255 East 74th Street,27,338 ft,30,skyscraper,2009,
682,Bank of Tokyo,12,338 ft,26,skyscraper,1896,
683,140 Riverside Boulevard at Trump Place,14,338 ft,26,skyscraper,2003,
684,The Bryant Park Hotel,43,338 ft,23,skyscraper,1924,
685,St. Tropez Condominiums,3,337 ft,35,skyscraper,1964,
686,Empire Condominium Tower,9,337 ft,32,skyscraper,2001,
687,J Condo,11,337 ft,31,skyscraper,2007,
688,99 John Deco Lofts,2,337 ft,28,skyscraper,1933,
689,Lefcourt Clothing Center Building,6,337 ft,26,skyscraper,1928,
690,The Concerto,5,337 ft,35,skyscraper,1991,
691,International Plaza Apartments,4,336 ft,28,skyscraper,1984,
692,401 Broadway,4,336 ft,26,skyscraper,1930,
693,Greeley Square Building,11,336 ft,25,skyscraper,1927,
694,Affinia Dumont,2,335 ft,37,skyscraper,1986,
695,2 Lincoln Square Apartments,5,335 ft,36,skyscraper,1975,
696,The Veneto,16,335 ft,32,skyscraper,2007,
697,World&#039;s Tower Building,7,335 ft,30,skyscraper,1913,
698,The Oliver Cromwell,2,335 ft,30,skyscraper,1927,
699,499 Park Avenue,3,335 ft,27,skyscraper,1980,
700,800 Fifth Avenue,4,335 ft,33,skyscraper,1978,
701,Columbus House Apartments,4,335 ft,33,skyscraper,1970,
702,Andover Apartments,3,335 ft,33,skyscraper,1975,
703,Arlo NoMad,,334 ft,31,skyscraper,2016,
704,Murray Hill Building,4,334 ft,27,skyscraper,1926,
705,Kratter Building,4,334 ft,27,skyscraper,1954,
706,Canada House,7,333 ft,27,skyscraper,1957,
707,Tower East Apartments,1,333 ft,34,skyscraper,1962,
708,Dorchester Towers Condominiums,5,333 ft,34,skyscraper,1965,
709,The Sutton,18,333 ft,30,skyscraper,2016,
710,Mayfair Towers Apartments,1,332 ft,36,skyscraper,1963,
711,Lorillard Building,4,332 ft,29,skyscraper,1959,
712,370 Lexington Avenue,4,331 ft,26,skyscraper,1929,
713,667 Madison,3,331 ft,24,skyscraper,1989,
714,Archstone Brooklyn Heights,7,331 ft,33,skyscraper,2000,
715,Grand Millennium Condominums,5,331 ft,32,skyscraper,1996,
716,Chelsea Tower,11,330 ft,33,skyscraper,2003,
717,Octavia Condominiums,1,330 ft,32,skyscraper,1984,
718,2 Wall Street,4,330 ft,22,skyscraper,1933,
719,Avenue of the Americas Plaza,4,330 ft,22,skyscraper,1990,
720,Belmont Apartments,4,330 ft,33,skyscraper,1981,
721,150 East 57th Street,4,330 ft,32,skyscraper,2000,
722,292 Madison Avenue,3,329 ft,26,skyscraper,1923,
723,Two Northside Piers,16,329 ft,30,skyscraper,2010,
724,Taino Towers Apartments I,5,328 ft,35,high-rise building,1979,
725,Taino Towers Apartments II,3,328 ft,35,high-rise building,1979,
726,Taino Towers Apartments IV,5,328 ft,35,high-rise building,1979,
727,Taino Towers Apartments III,2,328 ft,35,high-rise building,1979,
728,The Grand Sutton,5,328 ft,35,high-rise building,1990,
729,The Laurel,23,328 ft,30,high-rise building,2009,
730,ThreeTen East 53,10,328 ft,30,high-rise building,2007,
731,Bricken 8th Avenue Building,9,328 ft,27,high-rise building,1927,
732,LVMH Tower,5,328 ft,25,high-rise building,1999,
733,Colgate-Palmolive Building,4,328 ft,25,high-rise building,1955,
734,DoubleTree by Hilton Hotel New York Times Square West,,328 ft,36,high-rise building,2017,
735,Plaza Towers Apartments,5,328 ft,34,high-rise building,1965,
736,East River Tower Apartments,3,328 ft,33,high-rise building,1971,
737,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,,328 ft,29,high-rise building,2017,
738,Courtyard Marriott Hotel & Aurora LIC Residences,1,328 ft,31,high-rise building,2016,
739,Laurence Tower Apartments,5,327 ft,32,high-rise building,1972,
740,Park Tower,2,327 ft,32,high-rise building,1964,
741,Wadsworth Tower,1,327 ft,32,high-rise building,1964,
742,Audubon Tower,2,327 ft,32,high-rise building,1964,
743,Lefcourt State Building,7,327 ft,27,high-rise building,1928,
744,Herald Square Building,16,327 ft,24,high-rise building,1930,
745,Bank of New York Building,2,327 ft,26,high-rise building,1959,
746,Court Plaza,5,327 ft,32,high-rise building,1974,
747,Somerset Apartments,1,326 ft,36,high-rise building,1977,
748,The Seville,6,326 ft,31,high-rise building,2002,
749,808 Columbus Avenue,32,326 ft,30,high-rise building,2009,
750,Renaissance Apartments,8,326 ft,29,high-rise building,1931,
751,Promenade Apartments,1,325 ft,32,high-rise building,1973,
752,101 Barclay Street,26,325 ft,25,high-rise building,1985,
753,15 Metrotech Center,16,325 ft,21,high-rise building,2003,
754,10 West 66th Street Apartments,2,325 ft,32,high-rise building,1969,
755,Beaumont Condominiums,1,325 ft,32,high-rise building,1982,
756,Lewisohn Building,3,325 ft,22,high-rise building,1913,
757,Liberty Terrace,9,324 ft,25,high-rise building,1986,
758,90 West Street,68,324 ft,23,high-rise building,1907,
759,Insurance Building,3,324 ft,26,high-rise building,1929,
760,Riu Plaza New York Times Square,9,324 ft,29,high-rise building,2016,
761,600 Madison Avenue,4,323 ft,25,high-rise building,1965,
762,The Lara,3,323 ft,30,high-rise building,2013,
763,Lefcourt Normandie Building,9,322 ft,23,high-rise building,1928,
764,New York Athletic Club,5,322 ft,21,high-rise building,1930,
765,Macy&#039;s Addition,5,322 ft,19,high-rise building,1924,
766,Manhattan Bridge,24,322 ft,-,bridge,1909,
767,"Harcourt, Brace & World Building",2,321 ft,25,high-rise building,1964,
768,Avalon Brooklyn Bay,,320 ft,28,high-rise building,2017,
769,Liberty Luxe,48,320 ft,32,high-rise building,2011,
770,261 5th Avenue,19,320 ft,26,high-rise building,1929,
771,519 Eighth Avenue,9,320 ft,25,high-rise building,1926,
772,Verizon Chelsea Building,4,320 ft,19,high-rise building,1930,
773,JFK International Airport ATC Tower,1,320 ft,-,airport tower,1992,
774,Candlewood Suites New York City- Times Square,,320 ft,32,high-rise building,2011,
775,Morgan Guaranty Bank Building,3,319 ft,23,high-rise building,1961,
776,101 Avenue of the Americas,8,319 ft,25,high-rise building,1992,
777,77 Water Street,13,319 ft,26,high-rise building,1970,
778,Laurence G. Payson House,4,318 ft,35,high-rise building,1966,
779,200 Central Park South,12,317 ft,33,high-rise building,1964,
780,200 East 62nd Street Apartments,3,317 ft,30,high-rise building,1965,
781,37 Wall Street,3,317 ft,25,high-rise building,1907,
782,Heckscher Building,10,317 ft,20,high-rise building,1917,
783,Pavilion Apartments,11,317 ft,34,high-rise building,1963,
784,East Coast Tower II,7,316 ft,30,high-rise building,2008,
785,The Lexington New York City,5,316 ft,28,high-rise building,1928,
786,National Distillers Building,11,316 ft,26,high-rise building,1954,
787,444 Second Avenue,5,315 ft,33,high-rise building,1970,
788,Tivoli Towers,3,315 ft,33,high-rise building,1974,
789,Trafalgar House Condominiums,3,315 ft,31,high-rise building,1986,
790,St. George Towers,14,315 ft,30,high-rise building,1930,
791,3 Columbus Circle,19,315 ft,26,high-rise building,1928,
792,Fire Companies Building,6,315 ft,26,high-rise building,1912,
793,250 West 57th Street,1,315 ft,25,high-rise building,1921,
794,Bank of America Building,2,315 ft,23,high-rise building,1986,
795,Triborough Bridge East River Suspension,,315 ft,-,bridge,1936,
796,River Gate Apartments,22,315 ft,35,high-rise building,1985,
797,The NOMA,15,315 ft,24,high-rise building,2018,
798,215 Chrystie,9,314 ft,28,high-rise building,2017,
799,One Lincoln Square Condominiums,7,314 ft,30,high-rise building,1995,
800,Heron Tower,4,314 ft,25,high-rise building,1986,
801,Stone & Webster Building,9,313 ft,25,high-rise building,1932,
802,The Miles,3,313 ft,32,high-rise building,1974,
803,The Alexander at Rego Center,,313 ft,27,high-rise building,2015,
804,NYU Langone Medical Center Science Building,15,312 ft,16,high-rise building,2017,
